customer_age,asset_value,credit_score,contract_length,interest_rate,payment_frequency,time_to_default,defaulted
27.0,355643.74,756.0,12,0.0808,2,29.57,1
57.0,15295.65,527.0,12,0.0451,4,8.56,1
65.0,56813.32,525.0,36,0.0404,12,5.74,0
44.0,45418.04,763.0,60,0.0545,2,7.47,1
60.0,92387.75,749.0,24,0.0384,1,14.31,1
50.0,74285.33,714.0,48,0.02,1,8.07,0
35.0,42085.3,612.0,12,0.0761,4,14.37,0
50.0,38526.35,774.0,24,0.0507,1,40.32,0
68.0,19605.18,768.0,36,0.0657,4,16.77,1
44.0,160791.15,709.0,24,0.0539,2,10.43,0
68.0,94769.62,582.0,24,0.069,12,36.85,0
18.0,149906.67,657.0,24,0.064,2,28.43,0
57.0,43897.11,784.0,36,0.02,2,15.54,1
46.0,31044.11,833.0,12,0.059,4,12.51,1
41.0,20367.28,667.0,48,0.0321,12,53.73,1
46.0,85726.53,675.0,60,0.032,2,9.8,0
18.0,21167.17,684.0,12,0.02,4,42.38,0
42.0,380279.99,727.0,48,0.0862,2,6.11,1
50.0,16193.37,642.0,36,0.0473,2,16.93,1
67.0,78720.6,411.0,48,0.0417,1,4.39,0
37.0,286890.16,819.0,36,0.0347,2,55.92,0
33.0,108998.54,850.0,48,0.0969,12,8.37,1
37.0,71372.91,639.0,12,0.0703,2,20.32,1
59.0,22731.71,593.0,36,0.02,4,22.35,1
50.0,15036.42,686.0,24,0.0773,1,23.82,1
37.0,129320.63,681.0,36,0.0316,4,17.63,0
53.0,269991.9,800.0,36,0.0631,12,30.18,1
46.0,38605.5,705.0,48,0.0411,2,15.71,0
60.0,19166.87,621.0,36,0.02,2,18.59,0
34.0,5124.72,568.0,48,0.0397,1,33.01,1
40.0,22454.25,787.0,12,0.0548,2,35.06,0
39.0,53441.52,760.0,36,0.0551,4,18.08,0
23.0,296298.67,806.0,24,0.043,4,41.97,0
49.0,117375.53,603.0,24,0.0511,1,4.87,1
49.0,81233.7,850.0,12,0.0526,2,33.46,0
45.0,40130.04,526.0,24,0.0683,1,13.12,0
41.0,33417.48,771.0,48,0.0762,12,0.4,1
24.0,244176.74,509.0,36,0.05,2,3.02,1
39.0,73184.47,621.0,60,0.0235,2,0.95,1
40.0,7312.93,850.0,36,0.0628,2,2.84,1
33.0,30529.86,783.0,36,0.0637,12,5.03,1
43.0,25381.71,645.0,60,0.0678,12,6.6,0
51.0,34673.67,648.0,24,0.0308,12,9.8,1
73.0,105125.55,710.0,24,0.0661,4,6.94,1
48.0,53774.52,751.0,36,0.0563,1,31.74,0
49.0,55444.32,825.0,24,0.0616,4,44.74,0
44.0,222676.02,654.0,48,0.0347,12,24.96,0
18.0,29838.03,539.0,48,0.02,4,30.77,1
45.0,386234.33,716.0,60,0.0227,4,1.81,1
46.0,30598.08,654.0,36,0.0677,1,56.8,0
82.0,65460.24,570.0,48,0.0842,12,23.46,0
42.0,45197.47,730.0,12,0.0656,4,16.88,0
50.0,67739.12,679.0,24,0.0255,4,6.12,0
44.0,93394.9,731.0,36,0.0491,2,30.24,1
27.0,92395.66,611.0,48,0.0558,2,14.97,1
62.0,28194.51,749.0,60,0.0509,12,30.29,1
56.0,19478.87,568.0,48,0.0532,4,35.95,1
57.0,731733.6,617.0,12,0.0287,12,6.42,1
31.0,36901.8,676.0,48,0.0202,1,18.48,0
66.0,120476.79,850.0,36,0.0304,12,17.07,0
24.0,11996.36,778.0,60,0.0251,12,45.57,0
54.0,45269.43,808.0,60,0.0523,4,8.09,1
78.0,52722.66,842.0,12,0.0546,1,47.11,0
30.0,96068.34,850.0,36,0.0225,12,58.94,0
37.0,3934.53,704.0,12,0.0483,2,11.33,0
46.0,70695.74,842.0,12,0.0869,1,6.85,0
37.0,18963.26,801.0,12,0.0528,4,7.17,0
22.0,82813.45,800.0,48,0.0414,2,3.54,0
46.0,21240.62,850.0,24,0.0674,1,19.88,1
29.0,25451.18,658.0,48,0.0975,4,35.58,0
52.0,45541.19,650.0,36,0.0542,4,31.83,1
31.0,20903.47,732.0,12,0.0381,1,34.9,0
68.0,37214.94,682.0,12,0.0523,1,4.17,0
33.0,18153.6,732.0,24,0.0777,1,17.48,0
40.0,9574.22,850.0,60,0.0485,4,15.95,0
57.0,165703.79,652.0,12,0.0507,2,28.74,0
27.0,16382.21,670.0,48,0.0784,2,10.47,1
48.0,50077.1,717.0,12,0.0523,4,14.53,1
65.0,127120.54,677.0,36,0.0844,1,36.72,0
21.0,32372.22,509.0,24,0.0221,4,14.81,0
48.0,26234.59,642.0,60,0.0592,4,22.84,0
49.0,75074.64,769.0,36,0.0895,4,17.35,1
57.0,183126.75,844.0,48,0.0992,4,12.24,0
26.0,18595.68,585.0,36,0.0418,2,30.24,1
25.0,51526.53,584.0,12,0.0447,1,7.89,0
53.0,10588.31,703.0,24,0.0889,4,33.99,0
49.0,40408.64,492.0,12,0.0431,4,18.91,1
49.0,61957.55,656.0,24,0.0397,1,56.37,0
50.0,25473.03,526.0,48,0.0401,1,7.06,1
35.0,37911.44,837.0,36,0.0323,4,11.54,0
48.0,14643.81,623.0,24,0.0287,4,3.5,1
49.0,64671.68,850.0,36,0.0462,1,23.06,0
34.0,172076.47,811.0,24,0.02,1,14.96,0
73.0,19987.38,635.0,12,0.038,2,5.66,0
52.0,32123.02,593.0,24,0.0815,4,21.88,0
27.0,98967.45,681.0,24,0.0678,12,16.89,0
55.0,201207.24,690.0,60,0.0388,1,10.32,0
30.0,13451.02,735.0,48,0.0553,1,22.09,0
57.0,50575.13,622.0,12,0.0482,2,4.9,0
62.0,79469.68,775.0,12,0.035,2,12.98,1
33.0,54065.07,727.0,36,0.02,12,12.4,1
59.0,5030.16,666.0,24,0.0322,1,28.75,0
51.0,98823.43,629.0,24,0.044,4,7.78,0
57.0,273576.44,682.0,24,0.1001,4,46.65,0
73.0,67282.92,618.0,12,0.0626,4,4.52,0
41.0,21351.86,706.0,60,0.0481,2,59.11,0
34.0,35841.9,709.0,36,0.0602,12,50.56,0
32.0,351481.75,726.0,24,0.0551,12,12.2,1
33.0,148741.11,850.0,60,0.0361,12,40.31,0
44.0,113553.19,687.0,48,0.0489,1,5.34,0
50.0,85512.05,800.0,12,0.043,1,29.31,0
49.0,30910.86,723.0,48,0.02,12,49.17,0
57.0,48992.81,676.0,12,0.0389,12,4.69,0
45.0,55385.73,688.0,36,0.0481,12,13.02,0
67.0,103732.87,694.0,48,0.059,2,27.99,1
41.0,270741.26,728.0,36,0.0507,12,27.5,0
85.0,183200.81,604.0,36,0.0694,4,22.57,1
54.0,14481.33,553.0,36,0.0461,1,49.09,0
32.0,74906.43,765.0,48,0.076,4,6.88,1
29.0,125086.82,790.0,48,0.0541,1,4.07,1
52.0,111174.95,775.0,48,0.0595,2,10.83,1
42.0,31912.92,715.0,24,0.0558,2,29.98,1
56.0,1103623.28,777.0,36,0.0406,4,30.32,1
52.0,16695.85,771.0,24,0.0632,2,28.58,0
44.0,20268.26,779.0,12,0.0384,1,7.01,1
32.0,75629.0,614.0,48,0.0311,2,48.14,0
22.0,497227.55,590.0,60,0.0555,4,15.7,1
38.0,25946.84,661.0,12,0.0488,2,21.52,0
58.0,45897.76,698.0,36,0.0346,12,43.58,0
48.0,175833.65,676.0,36,0.0521,1,2.58,1
26.0,58814.16,512.0,24,0.0639,2,1.91,1
48.0,42847.22,850.0,48,0.0462,1,22.59,0
51.0,105412.12,673.0,48,0.082,4,2.55,1
32.0,78630.74,717.0,12,0.0732,12,6.84,0
47.0,167785.02,824.0,12,0.0417,1,4.91,1
46.0,217829.71,466.0,12,0.0272,12,22.0,1
28.0,81389.62,649.0,60,0.0477,12,26.58,1
50.0,80156.22,661.0,60,0.0592,12,4.35,0
53.0,74169.7,666.0,36,0.02,2,20.45,1
61.0,97648.6,683.0,36,0.02,2,6.59,1
61.0,63270.26,845.0,36,0.0252,4,29.92,0
24.0,59837.72,767.0,48,0.073,2,18.98,1
31.0,198119.79,796.0,36,0.0784,4,3.46,1
53.0,272696.89,705.0,24,0.0289,4,32.69,1
53.0,13259.2,560.0,12,0.0221,12,18.61,0
53.0,60477.17,492.0,48,0.0546,1,9.38,1
85.0,30070.67,547.0,60,0.0528,2,14.65,1
54.0,43871.87,736.0,12,0.0262,1,26.28,1
62.0,89546.76,703.0,36,0.0299,4,2.07,1
59.0,116942.59,679.0,60,0.0369,4,50.86,0
55.0,53523.36,663.0,60,0.0414,4,25.3,0
40.0,8836.62,850.0,60,0.0561,12,6.16,1
56.0,22810.0,618.0,12,0.02,1,5.79,1
33.0,146752.04,793.0,48,0.0881,12,0.47,1
41.0,3864.45,700.0,12,0.0575,1,57.16,0
38.0,196305.45,694.0,24,0.0517,12,3.03,0
46.0,100833.91,818.0,36,0.0374,4,15.68,0
80.0,223278.71,846.0,48,0.0331,2,23.82,1
18.0,49090.99,676.0,48,0.0342,12,7.69,1
55.0,7620.48,780.0,36,0.0402,12,20.42,1
21.0,92075.36,736.0,24,0.0582,2,17.41,0
38.0,214197.36,701.0,60,0.0728,2,7.7,1
61.0,150952.7,720.0,36,0.0217,12,2.55,1
46.0,30862.85,631.0,60,0.0412,4,8.03,0
29.0,65300.9,669.0,36,0.0528,4,7.34,0
34.0,35142.4,642.0,12,0.0542,2,12.5,1
55.0,26389.82,790.0,24,0.0384,12,24.06,0
34.0,155653.64,690.0,24,0.0427,1,17.33,0
48.0,18078.3,570.0,36,0.0453,2,4.84,1
46.0,24494.0,628.0,24,0.0262,1,23.93,1
35.0,19850.3,380.0,60,0.0314,2,39.23,1
77.0,13490.65,651.0,24,0.02,12,23.43,1
55.0,69314.84,704.0,24,0.072,4,13.71,1
18.0,191281.81,686.0,24,0.0614,2,6.05,1
48.0,49767.79,850.0,48,0.0229,1,3.96,0
35.0,13283.16,757.0,36,0.0275,12,7.32,1
58.0,138682.79,753.0,12,0.0228,12,23.92,1
33.0,323095.03,536.0,12,0.0311,12,5.17,1
43.0,31374.72,664.0,48,0.0549,1,28.2,0
53.0,37102.73,651.0,48,0.1074,2,19.55,0
58.0,100273.89,621.0,12,0.0412,4,9.81,1
27.0,303116.88,620.0,60,0.0595,4,3.3,1
40.0,35602.31,519.0,12,0.0476,1,14.53,1
38.0,15796.6,572.0,12,0.0549,4,20.91,0
35.0,112579.92,787.0,36,0.0443,2,7.12,0
71.0,133128.23,686.0,12,0.0731,1,6.37,0
51.0,60242.38,649.0,12,0.0619,1,1.76,0
26.0,34264.56,699.0,24,0.0499,2,59.63,0
59.0,161842.47,817.0,48,0.0629,12,21.76,0
77.0,101522.53,700.0,12,0.069,2,4.36,0
60.0,27765.92,754.0,12,0.0356,2,23.66,1
22.0,62887.0,615.0,60,0.0594,4,20.08,1
38.0,15495.31,638.0,12,0.0674,4,40.85,0
64.0,118882.45,735.0,36,0.0593,4,11.73,1
34.0,46063.05,850.0,60,0.0641,12,12.79,0
52.0,38726.88,843.0,12,0.0517,2,17.57,1
57.0,57937.81,758.0,36,0.061,4,33.06,1
31.0,62336.83,715.0,48,0.0805,12,27.47,0
44.0,146521.88,840.0,12,0.0298,4,37.61,1
18.0,108130.11,779.0,48,0.0499,2,12.11,0
30.0,51204.91,471.0,12,0.0346,2,20.37,0
41.0,128497.94,595.0,60,0.038,2,45.56,0
26.0,89387.6,734.0,60,0.0599,1,21.97,1
69.0,39081.34,521.0,36,0.02,2,4.67,0
24.0,52853.64,610.0,24,0.0276,2,40.36,0
38.0,51625.81,630.0,36,0.0742,4,56.59,0
47.0,99236.52,674.0,12,0.0235,1,6.18,0
67.0,41480.44,671.0,48,0.0788,4,10.98,0
23.0,40521.61,671.0,48,0.0498,12,32.05,1
62.0,428804.9,783.0,12,0.0486,12,37.93,0
45.0,153236.15,673.0,24,0.0364,1,17.91,0
30.0,27984.31,662.0,24,0.0435,2,56.19,0
52.0,105973.15,565.0,24,0.0546,1,10.92,1
48.0,67396.61,802.0,12,0.0456,2,20.48,0
36.0,88570.24,633.0,60,0.0323,12,14.0,1
46.0,68688.79,591.0,60,0.0624,12,24.43,1
39.0,196740.85,721.0,12,0.0748,1,16.58,1
47.0,84594.15,623.0,60,0.02,4,9.21,1
55.0,56269.69,647.0,24,0.0938,12,4.35,1
69.0,169768.42,726.0,60,0.0558,1,5.0,0
26.0,75605.56,667.0,12,0.0597,1,20.02,0
77.0,67607.8,850.0,60,0.0801,12,51.63,0
18.0,81962.95,693.0,60,0.02,2,43.95,0
43.0,54523.71,762.0,60,0.02,4,4.42,0
54.0,60429.16,506.0,60,0.02,4,2.84,1
49.0,33299.76,614.0,12,0.0253,2,18.48,0
36.0,28249.55,591.0,36,0.0617,12,1.11,1
42.0,22057.98,605.0,60,0.0255,12,8.63,0
38.0,14883.62,742.0,36,0.0315,2,8.69,0
36.0,24841.79,804.0,12,0.035,12,44.5,0
58.0,50298.62,734.0,48,0.047,4,32.91,1
50.0,66377.78,677.0,36,0.046,1,23.4,0
35.0,45647.47,637.0,12,0.0336,4,30.25,1
58.0,5677.67,811.0,48,0.0289,4,23.89,0
50.0,289116.89,850.0,60,0.0437,4,39.41,0
57.0,177456.38,714.0,12,0.05,12,5.26,1
54.0,93504.03,794.0,24,0.0779,2,44.59,0
33.0,403322.06,734.0,48,0.0299,12,3.43,0
37.0,22530.74,776.0,24,0.0472,2,32.97,0
56.0,395388.9,584.0,60,0.02,1,0.01,1
54.0,22806.16,651.0,60,0.0718,1,10.24,1
45.0,76018.95,740.0,36,0.047,4,13.81,0
47.0,16750.15,821.0,60,0.0656,2,18.34,0
64.0,60760.43,618.0,36,0.074,4,5.21,1
36.0,88094.6,497.0,48,0.0588,12,8.93,0
53.0,51293.01,650.0,24,0.0523,2,0.43,0
42.0,122256.61,801.0,48,0.02,4,46.37,0
42.0,66105.98,542.0,24,0.0464,12,21.11,1
61.0,35510.56,582.0,12,0.0299,1,40.37,0
57.0,33968.42,716.0,48,0.0276,4,1.33,0
57.0,134714.6,688.0,12,0.02,2,22.72,0
65.0,31140.3,759.0,24,0.0454,2,31.91,0
45.0,149552.53,577.0,36,0.0323,12,5.29,1
55.0,203355.67,668.0,48,0.034,4,37.74,1
40.0,11285.64,820.0,48,0.0293,1,17.19,0
50.0,185892.98,581.0,36,0.0762,4,54.42,0
43.0,469969.32,848.0,36,0.0281,4,40.33,0
46.0,77034.12,593.0,60,0.0415,2,23.91,0
54.0,108997.93,785.0,60,0.0458,12,10.93,1
33.0,168890.41,663.0,24,0.045,2,29.59,1
76.0,45456.8,586.0,48,0.0846,1,12.82,0
30.0,71846.0,650.0,36,0.02,4,0.37,0
27.0,16087.54,754.0,36,0.0545,1,7.36,0
62.0,68777.71,699.0,12,0.0675,12,0.57,1
57.0,98529.57,812.0,60,0.055,12,51.5,0
54.0,100324.28,844.0,12,0.0929,4,1.32,1
54.0,173759.03,582.0,36,0.0763,12,14.85,1
45.0,27589.7,574.0,48,0.0358,1,27.4,1
32.0,35150.47,570.0,48,0.0457,4,54.96,0
46.0,398517.76,610.0,12,0.0652,12,33.87,0
35.0,51517.23,810.0,60,0.0474,1,43.41,0
60.0,73132.91,756.0,24,0.0478,4,23.64,0
43.0,55993.45,645.0,48,0.0903,12,4.33,0
33.0,26326.18,699.0,24,0.07,2,1.79,1
40.0,303619.09,840.0,60,0.0913,4,13.59,1
51.0,35323.32,850.0,12,0.0481,4,24.42,0
37.0,19393.91,726.0,60,0.0529,2,10.43,0
33.0,38149.19,434.0,36,0.0567,12,44.11,0
49.0,8089.27,730.0,60,0.0638,4,56.9,0
49.0,31216.83,793.0,12,0.0436,1,3.41,1
37.0,22739.79,722.0,12,0.0315,12,24.38,1
38.0,111015.89,773.0,60,0.0337,4,25.16,0
48.0,30533.68,736.0,12,0.0475,1,33.06,0
23.0,145481.46,577.0,36,0.02,2,39.08,0
24.0,242433.81,611.0,24,0.0574,1,7.6,0
34.0,130767.38,668.0,60,0.02,12,47.44,0
42.0,48272.23,807.0,12,0.02,2,0.32,0
50.0,68948.46,623.0,24,0.0741,1,14.74,1
67.0,13030.07,746.0,36,0.0515,12,7.35,1
58.0,52376.88,730.0,60,0.0584,2,9.66,1
43.0,25325.36,850.0,12,0.0563,12,0.52,1
45.0,119889.57,696.0,24,0.0886,4,12.28,1
30.0,784461.2,525.0,36,0.0741,12,5.34,0
45.0,98698.17,765.0,48,0.0838,1,2.66,1
41.0,8175.2,850.0,12,0.0392,12,18.14,0
50.0,41721.41,771.0,36,0.0476,12,10.35,0
33.0,67676.27,621.0,24,0.0212,2,15.07,0
53.0,65339.85,592.0,60,0.0689,12,5.11,1
68.0,28830.43,605.0,24,0.0645,12,33.6,0
43.0,76518.8,850.0,60,0.0357,4,10.26,1
51.0,17283.35,667.0,36,0.0387,4,28.38,1
55.0,23273.98,634.0,36,0.0588,2,22.68,0
39.0,114210.4,684.0,24,0.0456,2,26.25,0
48.0,21684.15,668.0,24,0.0361,1,7.8,0
45.0,102560.85,850.0,60,0.0421,2,8.14,0
46.0,15222.6,599.0,12,0.0419,12,6.07,0
33.0,349698.24,818.0,24,0.058,4,8.79,0
45.0,27604.39,712.0,12,0.0455,2,7.66,1
52.0,47874.27,821.0,12,0.02,1,41.1,0
67.0,83334.11,850.0,12,0.0482,12,23.1,1
59.0,34018.17,708.0,36,0.036,1,8.75,0
77.0,69106.63,668.0,36,0.0634,1,19.97,1
33.0,106442.13,707.0,12,0.0532,1,29.32,0
58.0,156469.01,691.0,12,0.0361,1,1.89,1
48.0,132124.17,534.0,36,0.0368,12,13.57,1
78.0,50422.34,850.0,60,0.0534,12,1.89,1
33.0,51708.02,725.0,48,0.0492,1,17.89,0
32.0,627255.08,584.0,24,0.0434,12,7.86,1
36.0,154799.97,493.0,12,0.0476,2,18.78,1
18.0,23817.51,467.0,36,0.0582,12,30.83,0
37.0,66170.38,777.0,12,0.02,12,36.24,0
34.0,42824.12,638.0,12,0.0783,1,27.64,1
47.0,52295.51,655.0,12,0.041,12,9.46,1
50.0,17509.6,749.0,12,0.073,2,0.81,0
73.0,39659.14,648.0,60,0.0915,12,7.42,1
59.0,366427.43,755.0,24,0.0612,2,14.42,1
36.0,106838.79,710.0,24,0.02,12,25.82,0
32.0,4958.4,692.0,36,0.0267,4,16.56,0
52.0,202141.55,543.0,60,0.0584,12,1.09,1
25.0,178016.14,618.0,60,0.0366,2,5.19,1
72.0,41802.64,760.0,24,0.0795,2,34.03,1
63.0,122671.28,632.0,36,0.0352,2,2.31,1
38.0,25351.69,821.0,60,0.0611,1,2.64,1
19.0,37411.91,850.0,36,0.0478,2,20.62,0
65.0,267947.5,766.0,24,0.0507,12,1.64,1
43.0,45627.69,849.0,12,0.0628,4,3.88,1
64.0,9230.5,772.0,60,0.02,2,40.75,1
21.0,56201.39,647.0,36,0.0493,1,14.17,0
36.0,55348.87,720.0,12,0.068,12,32.31,0
45.0,198465.1,850.0,24,0.0265,2,59.63,0
46.0,60738.71,648.0,48,0.0631,1,38.68,1
38.0,39277.92,596.0,60,0.0454,1,2.97,1
54.0,170255.6,587.0,60,0.0369,1,17.02,0
29.0,67561.27,678.0,36,0.045,2,2.43,1
43.0,28281.9,600.0,24,0.0778,2,52.69,0
47.0,190041.46,850.0,24,0.0534,2,40.14,0
53.0,72668.39,722.0,60,0.0249,4,35.96,0
56.0,60049.59,797.0,60,0.0559,4,16.07,0
28.0,71532.59,670.0,36,0.0509,12,24.38,0
22.0,20523.62,586.0,36,0.0726,12,19.63,1
64.0,35325.0,569.0,48,0.0486,1,3.11,1
50.0,60089.03,609.0,12,0.0712,4,3.16,0
34.0,49283.09,735.0,36,0.0514,2,29.21,0
68.0,213721.36,752.0,12,0.0579,12,4.21,1
47.0,74414.48,760.0,60,0.0353,2,47.26,0
63.0,140773.0,551.0,48,0.0614,2,7.72,0
46.0,60439.33,700.0,48,0.0904,4,49.48,0
76.0,172178.75,597.0,48,0.0844,12,5.58,0
71.0,89101.17,740.0,24,0.0278,1,29.96,0
41.0,60683.1,748.0,60,0.02,12,5.09,0
60.0,59084.09,583.0,24,0.0575,12,17.18,1
55.0,23053.23,797.0,24,0.0451,12,27.83,0
66.0,99400.83,850.0,48,0.033,4,3.72,1
31.0,57514.67,783.0,24,0.0923,12,29.93,0
55.0,36243.24,684.0,60,0.1118,1,27.67,0
61.0,181037.92,668.0,60,0.02,12,10.96,0
19.0,17150.52,679.0,24,0.0343,2,56.61,0
27.0,39242.05,624.0,60,0.0242,1,18.44,1
18.0,167329.26,725.0,12,0.0335,12,34.01,0
41.0,82086.02,586.0,24,0.0725,4,6.83,1
56.0,57076.12,511.0,48,0.0551,4,5.87,1
68.0,76957.11,722.0,48,0.0666,4,6.73,1
46.0,71640.38,702.0,60,0.0764,2,33.75,1
69.0,13138.96,643.0,60,0.0568,2,10.47,1
24.0,42223.75,572.0,48,0.0311,4,40.04,0
19.0,301498.9,729.0,12,0.0603,2,54.15,0
44.0,30966.95,601.0,48,0.0479,12,6.54,1
51.0,43551.48,686.0,24,0.0467,12,20.37,0
45.0,34835.05,850.0,48,0.0334,4,9.1,0
18.0,54884.42,765.0,36,0.0692,1,15.66,1
44.0,33418.91,563.0,12,0.06,12,23.67,0
25.0,97415.59,573.0,12,0.0669,1,32.24,0
55.0,72934.23,715.0,48,0.0313,2,2.71,0
50.0,129773.72,562.0,36,0.0711,2,15.88,1
31.0,20932.51,500.0,24,0.057,12,28.05,1
37.0,42602.13,753.0,48,0.069,12,43.2,1
29.0,47775.94,732.0,24,0.0343,2,43.48,0
44.0,94433.1,745.0,36,0.0532,2,1.69,0
59.0,27086.18,726.0,48,0.0731,1,5.54,1
30.0,149590.05,693.0,48,0.0618,12,3.39,1
53.0,196106.98,634.0,24,0.0477,4,58.56,0
37.0,22272.94,752.0,48,0.0609,4,22.09,1
33.0,36648.48,850.0,36,0.0309,2,19.9,1
43.0,35174.21,650.0,48,0.0637,4,6.24,0
29.0,832664.6,598.0,60,0.0682,2,26.23,0
37.0,38952.56,586.0,36,0.059,4,1.34,0
27.0,320496.12,613.0,12,0.0485,2,14.9,0
74.0,16871.28,720.0,24,0.057,2,19.91,1
46.0,22255.6,486.0,36,0.0492,4,37.33,0
35.0,30133.58,744.0,12,0.0466,12,16.92,0
48.0,25701.66,764.0,12,0.0654,2,18.39,1
43.0,45802.83,520.0,36,0.0816,4,4.77,1
42.0,29472.76,602.0,12,0.0538,12,30.1,0
54.0,26387.84,708.0,12,0.0393,1,2.65,0
56.0,190702.9,686.0,60,0.031,2,54.38,0
37.0,203575.79,752.0,48,0.0369,2,40.14,0
36.0,154708.27,686.0,60,0.0937,1,4.31,1
41.0,101113.5,826.0,48,0.0826,2,44.55,1
18.0,65692.7,668.0,12,0.0692,1,8.3,0
22.0,36423.49,602.0,48,0.0755,4,18.99,1
66.0,23082.79,594.0,60,0.0393,1,9.27,0
70.0,86076.84,774.0,24,0.0709,12,21.72,1
41.0,18515.61,703.0,24,0.0726,4,14.29,1
54.0,22160.77,763.0,48,0.0483,1,31.22,0
50.0,189645.77,761.0,24,0.0263,12,21.1,1
85.0,400572.09,498.0,36,0.0211,1,14.66,1
62.0,88724.84,586.0,24,0.0582,12,46.08,0
43.0,181037.08,598.0,48,0.0403,1,5.36,0
31.0,46824.02,618.0,12,0.0566,2,13.9,0
21.0,15714.29,658.0,60,0.0445,12,2.71,0
48.0,110433.81,800.0,24,0.0278,2,10.63,0
34.0,105798.26,820.0,48,0.0854,2,24.46,0
24.0,64322.74,671.0,60,0.0289,12,1.79,0
35.0,46986.92,675.0,36,0.0367,2,13.61,0
29.0,156719.14,629.0,12,0.0499,4,2.44,0
70.0,22342.97,709.0,60,0.0529,1,12.88,1
58.0,27617.9,720.0,60,0.02,12,15.75,1
45.0,21848.63,781.0,48,0.0664,4,36.58,1
67.0,65184.24,780.0,36,0.0633,12,35.67,0
46.0,20173.13,470.0,24,0.0938,1,22.96,1
32.0,30204.85,685.0,36,0.0558,12,16.89,0
68.0,29561.98,838.0,12,0.0481,1,44.52,0
53.0,46137.98,656.0,24,0.0315,4,16.66,1
29.0,13529.47,814.0,36,0.0245,12,26.58,0
42.0,65329.89,669.0,12,0.0463,1,58.8,0
32.0,208418.56,717.0,60,0.0237,2,50.75,0
